𮬝	鱥
𮬟	䱛
𮬠	䱚
𮬡	䱻
𮬢	䱵
𮬣	䲗
𮬤	鱵
𮭥	䳍
𮭨	鷃
𮭪	鷞
𮭰	䴚
𮮄	麪
𮮆	麭
𮮇	麰
𮯙	䶗
𮯸	儮
𮰉	凴
𮰔	喡
𮰸	嬟
𮰿	㛍
𮱁	嬧
𮱒	嬝
𮱣	⿺兀貴 tuí
𮲁	悓
𮲄	憅
𮲇	慖
𮲔	敳
𮲛	㬢
𮲟	暊
𮲮	欆
𮳆	澕
𮳗	瀭
𮳠	煈
𮳧	燆
𮳴	爗
𮳺	⿰牜马 mǔ
𮴂	㼁
𮴔	璍
𮴿	鴫
𮶙	艦
𮷅	諌
𮷗	軚
𮷛	轟
𮸐	錺
𮸹	顧
𮹗	䳥
𮹝	龘
𰀁	⿻丨二 chuàn
𰀂	⿻匚一 nüè
𰀄	⿷匚一 nüè
𰀉	⿻十口 náng nāng
𰀕	⿰丙丙 lì
𰀡	臤
𰀢	⿰〢⿱𠂉丶
𰀦	⿰㠯㠯 péi
𰀸	⿱也也 mí
𰁒	⿰了了 chuǎn
𰁜	龻
𰁧	傱
𰁸	儅
𰁾	偩
𰂋	僴
𰂎	僩
𰂏	儥
𰂗	僀
𰂜	僓
𰂦	儢
𰂭	儩
𰃆	儹
𰃮	𦥯
𰃷	凔
𰃿	凟
𰄔	⿰出出 sè
𰄞	剸
𰅔	勴
𰅥	匵
𰅦	匰
𰅭	⿱八十 wǔ
𰆋	⿰卩卩 zhuàn
𰆚	厱
𰆬	⿰原原 yuán
𰇎	㖦
𰇕	唊
𰇠	嗧
𰇲	嗿
𰇼	嘇
𰈇	嚐
𰈍	嚫
𰈓	嚂
𰈯	囐
𰈶	嚩
𰉄	囋
𰉙	堈
𰉚	垷
𰉣	墿
𰉥	埉
𰉧	壓
𰉩	墧
𰉪	墷
𰊂	墆
𰊈	墏
𰊑	壏
𰊡	壛
𰊢	壍
𰋷	⿱𭕄女 yīng
𰋸	婸
𰋹	嫥
𰋽	嬮
𰌀	嫈
𰌇	嫧
𰌙	嬾
𰌦	孲
𰌷	寪
𰎌	嵷
𰎎	巃
𰎏	崠
𰎑	嶪
𰎔	嶤
𰎖	崱
𰎞	嶩
𰎠	巖
𰎫	嶽
𰎹	巚
𰏁	巑
𰏕	帴
𰏟	幱
𰏶	廥
𰏼	廗
𰐾	懭
𰐿	愓
𰑁	慱
𰑄	惀
𰑅	⿰忄从 sǒng
𰑔	慹
𰑕	懕
𰑙	懰
𰑟	慐
𰑥	憪
𰑧	慙
𰑪	憴
𰑬	懫
𰑵	慸
𰑿	戃
𰒆	慲
𰒒	懘
𰒦	⿹戈冬
𰓄	掁
𰓆	摀
𰓙	擪
𰓜	擳
𰓧	搎
𰓬	攦
𰓱	摼
𰓷	撋
𰓻	摫
𰓼	摲
𰔇	摕
𰔋	撌
𰕁	攳
𰕅	敺
𰕈	敿
𰕭	旝
𰖈	曮
𰖠	㬮
𰗛	檡
𰗜	檿
𰗢	楎
𰗣	⿳亠从木 zá
𰗨	榯
𰗬	櫏
𰗹	橚
𰗺	橨
𰘈	檋
𰘓	檾
𰘠	櫩
𰘣	檰
𰘩	櫹
𰘳	櫴
𰘶	櫯
𰘸	櫢
𰙎	歛
𰙑	歗
𰙦	⿹𢦏止 yuè
𰚈	⿰壺殳 hú
